Taxonomy ,industry,usecases,xdlink,prototypelink,,,,,,,
1.A,HT - Auto,Social Site Research,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FAuto%20XDs%2FAuto%20%2D%20Social%20Site%20Research%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FAuto%20XDs,https://xd.adobe.com/view/803dd79c-69ca-4514-b7c4-e3b4ab2f33a1-d56e/?fullscreen,,,,,,,
1.B,HT - Auto,Targeted Ad,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FAuto%20XDs%2FAuto%20%2D%20Ad%20Targeting%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FAuto%20XDs,https://xd.adobe.com/view/8afa7e53-7cef-4cae-b142-d9073977c5d9-dfa9/?fullscreen,,,,,,,
1.C,HT - Auto,Loyalty and Retention ,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FAuto%20XDs%2FAuto%20%2D%20Loyalty%20%26%20Retention%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FAuto%20XDs,https://xd.adobe.com/view/824c0528-8828-44ce-81a6-36eda4b3cbde-d71f/?fullscreen,,,,,,,
1.D,HT - Auto,Call Center,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FAuto%20XDs%2FAuto%20%2D%20Call%20Center%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FAuto%20XDs,https://xd.adobe.com/view/b8d0fe88-2ca9-42ed-b376-d33498f4e55f-ed83/?fullscreen,,,,,,,
1.E,HT - Auto,Personalized Push Notifications,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FAuto%20XDs%2FAuto%20%2D%20Personalized%20Push%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FAuto%20XDs,https://xd.adobe.com/view/f561da69-c358-4cc1-9de0-4fd2faf451fd-a032/?fullscreen,,,,,,,
1.F,HT - Auto,Appointment Scheduling,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FAuto%20XDs%2FAuto%20%2D%20Appointment%20Scheduling%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FAuto%20XDs,https://xd.adobe.com/view/8a4ec110-f7ae-445f-a658-ed944894866a-df1d/?fullscreen,,,,,,,
1.G,HT - Auto,E-Sign Documentation ,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FAuto%20XDs%2FAuto%20%2D%20E%2DSign%20Documentation%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FAuto%20XDs,https://xd.adobe.com/view/9b9a96d6-a8f3-440a-aab6-5ab588a6ce80-cec9/?fullscreen,,,,,,,
1.H,HT - Auto,Reminder Email,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FAuto%20XDs%2FAuto%20%2D%20Reminder%20Email%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FAuto%20XDs,https://xd.adobe.com/view/8527553d-1495-42d4-9174-0859df2e12b4-d074/?fullscreen,,,,,,,
1.I,HT - Auto,Quote & Finance ,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FAuto%20XDs%2FAuto%20%2D%20Quote%20%26%20Finance%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FAuto%20XDs,https://xd.adobe.com/view/4dd81b50-0fc5-4b31-9465-46d5b779481e-188b/?fullscreen,,,,,,,
1.J,HT - Auto,Cross-selling and/or Upsell,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FAuto%20XDs%2FAuto%20%2D%20Upsell%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FAuto%20XDs,https://xd.adobe.com/view/090c6cc2-97cf-4cc7-8fa0-bf7228770bf4-5c5f/?fullscreen,,,,,,,
